Tên thư mục,Tên đề thi,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong đơn đồ thị vô hướng, bậc của một đỉnh v được định nghĩa là:","Số đỉnh kề với v.","Số thành phần liên thông chứa v.","Số cạnh liên thuộc với đỉnh v.","Tổng số cạnh của đồ thị.","C","NB",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đơn đồ thị vô hướng phân biệt với đa đồ thị vô hướng ở điểm cơ bản nào sau đây?","Đơn đồ thị không cho phép có khuyên và đa cạnh.","Đơn đồ thị có hướng trên các cạnh.","Đơn đồ thị cho phép nhiều cạnh nối giữa cùng một cặp đỉnh.","Đơn đồ thị bắt buộc phải liên thông.","A","NB",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Theo Định lý bắt tay, giả sử đơn đồ thị vô hướng G có 10 đỉnh và 15 cạnh. Tổng số bậc của tất cả các đỉnh trong G bằng bao nhiêu?","10","15","30","25","C","TH",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong một đơn đồ thị có hướng, mối quan hệ giữa tổng bán bậc ra và tổng bán bậc vào là:","Tổng bán bậc ra bằng một nửa tổng bán bậc vào.","Tổng bán bậc ra lớn hơn tổng bán bậc vào.","Tổng bán bậc ra bằng tổng bán bậc vào và bằng số cạnh.","Tổng bán bậc ra bằng gấp đôi số cạnh.","C","NB",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đồ thị đầy đủ K_5 (có 5 đỉnh) có số lượng cạnh là:","5","10","15","20","B","TH",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đồ thị phân đôi hoàn đủ K_3_4 có tổng số cạnh là bao nhiêu?","7","12","24","34","B","TH",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Số lượng đỉnh có bậc lẻ trong một đơn đồ thị vô hướng bất kỳ luôn là:","Một số lẻ.","Một số chẵn.","Bằng tổng số đỉnh đồ thị.","Không thể xác định nếu không biết số cạnh.","B","NB",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Một đơn đồ thị vô hướng, liên thông có n đỉnh thì số cạnh tối thiểu là:","n - 1","n","n + 1","2n","A","NB",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Đồ thị vòng C_n (n >= 3) có đặc điểm gì về bậc của các đỉnh?","Mọi đỉnh đều có bậc bằng n - 1.","Mọi đỉnh đều có bậc bằng 2.","Mọi đỉnh đều có bậc bằng 3.","Tồn tại ít nhất 1 đỉnh có bậc 1.","B","TH",1,,
"Toán rời rạc 2 -> Chương 1 -> Đồ thị cơ bản","Đề thi trắc nghiệm TRR2","Trắc nghiệm",0.125,"Trong đồ thị bánh xe W_n, đỉnh trung tâm (đỉnh bổ sung) có bậc bằng bao nhiêu?","n - 1","n","n + 1","2","A","TH",1,,
