Tên thư mục,Tên đề thi ,Loại câu hỏi,Điểm,Nội dung câu hỏi,A,B,C,D,Đáp Án,Độ Khó,Cố định đáp án,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đa đồ thị vô hướng khác đơn đồ thị vô hướng ở điểm cơ bản nào sau đây?","Cho phép có nhiều cạnh nối cùng một cặp đỉnh (đa cạnh)","Cho phép các đỉnh có trọng số","Chứa các cạnh có hướng","Không cho phép có khuyên",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Khuyên (loop) trong đồ thị vô hướng được định nghĩa là gì?","Cạnh nối một đỉnh với chính nó","Đường đi vòng qua tất cả các đỉnh","Chu trình có độ dài lớn hơn 3","Cạnh nối hai đỉnh cô lập",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong đơn đồ thị có hướng G = (V, E), tổng bán bậc vào của tất cả các đỉnh trong V luôn bằng:","Tổng số cung (cạnh có hướng) của đồ thị","Hai lần tổng số cung","Tổng số đỉnh của đồ thị","Một nửa số đỉnh của đồ thị",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Theo định lý bắt tay (Handshaking lemma) áp dụng cho đồ thị vô hướng, số lượng đỉnh có bậc lẻ luôn là:","Một số chẵn","Một số lẻ","Tùy ý không bắt buộc","Luôn bằng 0",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Đồ thị bánh xe W_n (n >= 3) được tạo ra bằng cách nào?","Thêm một đỉnh nối với tất cả các đỉnh của đồ thị vòng C_{n-1}","Thêm một đỉnh nối với tất cả các đỉnh của đồ thị đầy đủ K_{n-1}","Gắn n đồ thị vòng lại với nhau tại một đỉnh","Tạo ra một chu trình n đỉnh và thêm các đường chéo",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 1 -> Các khái niệm cơ bản,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong đồ thị hai phía K_m,n (m, n là số đỉnh của 2 tập phân hoạch), tổng số cạnh của đồ thị là bao nhiêu?","m * n","m + n","m^n","n^m",A,Vận dụng,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong ma trận kề A của đồ thị có hướng, tổng các phần tử trên cột j cho biết giá trị gì?","Bán bậc vào của đỉnh j","Bán bậc ra của đỉnh j","Bậc của đỉnh j (tổng bậc vào và ra)","Số cung xuất phát từ j",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Ma trận liên thuộc đỉnh-cạnh (Incidence matrix) của đồ thị vô hướng n đỉnh và m cạnh có kích thước là:","n x m","m x n","n x n","m x m",A,Nhận biết,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Trong ma trận kề của đa đồ thị vô hướng, phần tử a_ij mang ý nghĩa gì?","Số cạnh nối trực tiếp giữa đỉnh i và đỉnh j","Khoảng cách đường đi ngắn nhất giữa i và j","Trọng số lớn nhất của các cạnh nối i và j","Luôn bằng 1 nếu có ít nhất 1 cạnh nối",A,Thông hiểu,1,
Toán rời rạc 2 -> Chương 2 -> Biểu diễn đồ thị,Đề thi TRR2 - Tổng hợp,Trắc nghiệm,2.5,"Nhược điểm chính của việc sử dụng ma trận kề để biểu diễn đồ thị 'thưa' (nhiều đỉnh, ít cạnh) là gì?","Lãng phí không gian bộ nhớ lưu trữ nhiều giá trị 0","Không thể duyệt các đỉnh kề của một đỉnh","Không thể biểu diễn đồ thị có hướng","Không lưu trữ được đồ thị đa cạnh",A,Vận dụng,1,
